nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm,preu_cost_before
Gaspatxo andalús tradicional,informal,fred,mitjana,mitjana,primer,amanida_fresca,Espanya,7.34,"['empresa', 'congres', 'aniversari']",['estiu'],"['pa', 'tomàquet', 'pebrot', 'cogombre', 'all', 'vinagre', 'oli', 'sal', 'pebre', 'gel']","['pa', 'tomàquet', 'pebrot', 'cogombre', 'all', 'vinagre', 'oli', 'sal', 'pebre', 'gel']",6.0
Gaspatxo de préssec i tomàquet,informal,fred,mitjana,mitjana,primer,amanida_fresca,Espanya,7.8,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'préssec', 'gel', 'ceba tendra', 'oli', 'vinagre', 'estragó', 'sal', 'pebre']","['tomàquet', 'préssec', 'gel', 'ceba tendra', 'oli', 'vinagre', 'estragó', 'sal', 'pebre']",6.0
Rotllets d'estiu vietnamites,informal,fred,baixa,mitjana,primer,entrant_fred,Vietnam,6.5,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"[""galetes d'arròs"", 'gamba', 'porc', 'vermicell', 'cogombre', 'herbes', 'aigua']","[""galetes d'arròs"", 'gamba', 'porc', 'vermicell', 'cogombre', 'herbes', 'aigua']",5.0
Onigiri japonès farcit,informal,fred,baixa,petita,primer,entrant_fred,Japó,6.65,"['empresa', 'congres', 'aniversari']",['totes'],"['arròs', 'farcit', 'umeboshi', 'ton', 'salmó', 'ou', 'nori']","['arròs', 'farcit', 'umeboshi', 'ton', 'salmó', 'ou', 'nori']",5.0
Patates a la Huancaína,informal,fred,mitjana,mitjana,primer,entrant_fred,Perú,8.07,"['empresa', 'aniversari']",['totes'],"['patata', 'formatge', 'aji', 'llet evaporada', 'all', 'olives']","['patata', 'formatge', 'aji', 'llet evaporada', 'all', 'olives']",6.0
Paté vegà d'hivern,formal,fred,mitjana,mitjana,primer,entrant_fred,Internacional,9.81,"['casament', 'empresa', 'congres']",['totes'],"['ceba', 'nous', 'pèsols', 'sal', 'pebre', 'comí']","['ceba', 'nous', 'pèsols', 'sal', 'pebre', 'comí']",6.9
Còctel de cranc i blat de moro amb maionesa lleugera,formal,fred,baixa,petita,primer,entrant_fred,Estats Units,7.8,"['casament', 'empresa']",['totes'],"['cranc', 'blat de moro', 'maionesa', 'ceba', 'formatge suau']","['cranc', 'blat de moro', 'maionesa', 'ceba', 'formatge suau']",5.8
Amanida de tonyina amb herbes mediterrànies i feta,informal,fred,baixa,mitjana,primer,entrant_fred,Mediterrània,6.5,"['empresa', 'aniversari']",['totes'],"['tonyina', 'sal', 'pebre', 'mostassa', 'llimona', 'oli', 'alfàbrega', 'farigola', 'orenga', 'julivert', 'feta']","['tonyina', 'sal', 'pebre', 'mostassa', 'llimona', 'oli', 'alfàbrega', 'farigola', 'orenga', 'julivert', 'feta']",5.0
Bruschetta de tomàquet i mozzarella fresca,informal,tebi,mitjana,mitjana,primer,entrant_fred,Itàlia,8.25,"['empresa', 'aniversari']",['estiu'],"['pa', 'tomàquet', 'mozzarella', 'alfàbrega', 'sal', 'pebre', 'oli', 'vinagre']","['pa', 'tomàquet', 'mozzarella', 'alfàbrega', 'sal', 'pebre', 'oli', 'vinagre']",6.0
Gyoza a la planxa (pot stickers),formal,tebi,alta,petita,primer,entrant_calent,Xina,7.51,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"['envolcalls', 'farcit']","['envolcalls', 'farcit']",5.8
Gyoza de porc a la planxa,formal,calent,alta,petita,primer,entrant_calent,Japó,9.75,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"['porc', 'mostassa', 'salsa de soja', 'envolcall', 'salses']","['porc', 'mostassa', 'salsa de soja', 'envolcall', 'salses']",5.8
Rotllets de primavera vegetarians cruixents,formal,tebi,alta,mitjana,primer,entrant_calent,Xina,8.42,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"['farina', 'ou', 'sal', 'aigua', 'oli', 'pastanaga', 'porro', 'gingebre', 'all', 'col', 'xampinyó', 'germinats', 'xili', 'soja', 'pebre blanc']","['farina', 'ou', 'sal', 'aigua', 'oli', 'pastanaga', 'porro', 'gingebre', 'all', 'col', 'xampinyó', 'germinats', 'xili', 'soja', 'pebre blanc']",5.8
Pakora de patata amb gingebre,informal,calent,alta,petita,primer,entrant_calent,Índia,6.5,"['empresa', 'aniversari']",['totes'],"['farina de cigró', 'oli', 'xili', 'gingebre', 'sal', 'pebre', 'patata']","['farina de cigró', 'oli', 'xili', 'gingebre', 'sal', 'pebre', 'patata']",5.0
Bonda índia de patata i cigró (frita),formal,tebi,alta,petita,primer,entrant_calent,Índia,7.66,"['empresa', 'congres', 'aniversari']",['totes'],"['patata', 'ceba', 'chili', 'cilantre', 'gingebre', 'all', 'sal', 'farina de cigró', ""farina d'arròs"", 'llevat', 'aigua', 'oli']","['patata', 'ceba', 'chili', 'cilantre', 'gingebre', 'all', 'sal', 'farina de cigró', ""farina d'arròs"", 'llevat', 'aigua', 'oli']",5.8
Pastissets de peix tailandesos (Tod Mun),informal,calent,alta,mitjana,primer,entrant_calent,Tailàndia,9.81,"['empresa', 'aniversari']",['totes'],"['peix', 'pasta de curry', 'ou', 'fulles de llima']","['peix', 'pasta de curry', 'ou', 'fulles de llima']",7.0
Portobello farcit amb formatges i herbes,formal,calent,mitjana,mitjana,primer,vegetal_entrant,Itàlia,11.42,"['casament', 'empresa', 'congres']",['totes'],"['bolets', 'vinagre', 'all', 'ou', 'formatge fresc', 'formatge mozzarella', 'pa ratllat', 'sal', 'pebre']","['bolets', 'vinagre', 'all', 'ou', 'formatge fresc', 'formatge mozzarella', 'pa ratllat', 'sal', 'pebre']",6.9
Pebrots farcits de formatge (Chushki Byurek),formal,calent,mitjana,mitjana,primer,entrant_calent,Bulgària,9.81,"['casament', 'empresa', 'congres']",['totes'],"['pebrot vermell', 'formatge', 'ou', 'oli', 'sal', 'julivert']","['pebrot vermell', 'formatge', 'ou', 'oli', 'sal', 'julivert']",6.9
Zippuli italians de patata i parmesà,formal,calent,alta,mitjana,primer,entrant_calent,Itàlia,11.56,"['empresa', 'congres', 'aniversari']",['totes'],"['sal', 'llevat químic', 'all', 'formatge parmesà', 'julivert', 'patata', 'ou']","['sal', 'llevat químic', 'all', 'formatge parmesà', 'julivert', 'patata', 'ou']",6.9
Carxofa al vapor amb cítrics i herbes,formal,calent,baixa,mitjana,primer,vegetal_entrant,Mediterrània,8.8,"['casament', 'empresa']",['totes'],"['sal', 'oli', 'carxofa', 'llimona', 'julivert', 'all', 'vi']","['sal', 'oli', 'carxofa', 'llimona', 'julivert', 'all', 'vi']",6.9
Cigrons picants amb mostassa i pebre,informal,calent,mitjana,mitjana,primer,vegetal_entrant,Índia,8.32,"['empresa', 'aniversari']",['totes'],"['cigrons', 'oli', 'mostassa', 'pebre', 'sal']","['cigrons', 'oli', 'mostassa', 'pebre', 'sal']",6.0
Quinoa amb shiitake i adzuki,informal,calent,mitjana,mitjana,primer,vegetal_entrant,Japó,8.39,"['empresa', 'aniversari']",['totes'],"['pastanaga', 'ceba tendra', 'bolets shiitake', 'mongetes adzuki', 'quinoa', 'oli', 'brou', 'sal', 'pebre']","['pastanaga', 'ceba tendra', 'bolets shiitake', 'mongetes adzuki', 'quinoa', 'oli', 'brou', 'sal', 'pebre']",6.0
Arròs persa cruixent (Tahdig),formal,tebi,alta,mitjana,primer,farinaci_entrant,Irà,9.31,"['casament', 'empresa', 'congres']",['totes'],"['patata', 'arròs', 'oli', 'sal', 'aigua']","['patata', 'arròs', 'oli', 'sal', 'aigua']",6.9
Arròs negre amb sèpia i tinta natural,formal,tebi,alta,mitjana,primer,farinaci_entrant,Comunitat Valenciana / Catalunya (Espanya),8.76,"['casament', 'empresa']",['totes'],"['arròs', 'sèpia', 'tinta de sèpia', ""oli d'oliva"", 'all', 'pebre', 'sal', 'aigua']","['arròs', 'sèpia', 'tinta de sèpia', ""oli d'oliva"", 'all', 'pebre', 'sal', 'aigua']",6.9
Arròs a banda amb allioli suau,formal,tebi,alta,mitjana,primer,farinaci_entrant,Alacant / Múrcia (Espanya),8.95,"['casament', 'empresa']",['totes'],"['arròs', 'fumet de peix', ""oli d'oliva"", 'all', 'sal', 'aigua']","['arròs', 'fumet de peix', ""oli d'oliva"", 'all', 'sal', 'aigua']",6.9
Bisque fina de llagosta,formal,calent,mitjana,petita,primer,sopa_crema,França,8.93,"['casament', 'empresa', 'congres']",['totes'],"['llagosta', 'brou', 'nata', 'anet', 'llimona', 'oli', 'api', 'ceba', 'all', 'sal', 'pebre', 'llorer']","['llagosta', 'brou', 'nata', 'anet', 'llimona', 'oli', 'api', 'ceba', 'all', 'sal', 'pebre', 'llorer']",5.8
Crema d'espàrrecs tendres,formal,tebi,mitjana,mitjana,primer,sopa_crema,Internacional,9.79,"['casament', 'empresa', 'congres']",['primavera'],"['espàrrecs', 'aigua', 'ceba', 'mantega', 'nata', 'espècies']","['espàrrecs', 'aigua', 'ceba', 'mantega', 'nata', 'espècies']",6.9
Sopa de ceba gratinada,informal,tebi,mitjana,mitjana,primer,sopa_crema,França,9.1,"['empresa', 'aniversari']",['totes'],"['ceba', 'mantega', 'farina', 'brou de vedella', 'herbes', 'pa', 'gruyère', 'nutmeg', 'sal', 'pebre']","['ceba', 'mantega', 'farina', 'brou de vedella', 'herbes', 'pa', 'gruyère', 'nutmeg', 'sal', 'pebre']",6.0
Sopa cremosa de bolets clàssica,formal,calent,alta,gran,primer,sopa_crema,Internacional,12.0,"['casament', 'empresa', 'congres']",['totes'],"['bolets', 'mantega', 'farina', 'ceba', 'llet', 'nata', 'sal', 'julivert']","['bolets', 'mantega', 'farina', 'ceba', 'llet', 'nata', 'sal', 'julivert']",8.1
Sopa de blat de moro amb gambes,formal,calent,alta,mitjana,primer,sopa_crema,Internacional,9.6,"['casament', 'empresa', 'congres']",['totes'],"['oli', 'ceba', 'pastanaga', 'all', 'brou', 'anís', 'blat de moro', 'gamba', 'nata', 'julivert', 'sal', 'pebre']","['oli', 'ceba', 'pastanaga', 'all', 'brou', 'anís', 'blat de moro', 'gamba', 'nata', 'julivert', 'sal', 'pebre']",6.9
Sopa de curri amb iogurt (Kadhi),informal,tebi,mitjana,mitjana,primer,sopa_crema,Índia,7.13,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de cigró', 'iogurt', 'gingebre', 'xili', 'fulles de curri', 'sucre', 'sal', 'ghee', 'comí', 'mostassa', 'asafoetida', 'cilantro']","['farina de cigró', 'iogurt', 'gingebre', 'xili', 'fulles de curri', 'sucre', 'sal', 'ghee', 'comí', 'mostassa', 'asafoetida', 'cilantro']",6.0
nom_plat,formalitat,temperatura,mitjana,mitjana,postres,categoria,procedencia_plat,6.5,['apte_esdeveniment'],['disponibilitat'],['ingredients'],['ingredients'],0.0
Bún bò Huế (fideus de vedella),formal,tebi,mitjana,mitjana,primer,sopa_crema,Vietnam,10.29,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['pasta de gambes', 'ceba', 'oli', 'peu de porc', 'herbes', 'vedella', 'salsa de peix', 'sucre', 'xili', ""fideus d'arròs"", 'llimona', 'germinats']","['pasta de gambes', 'ceba', 'oli', 'peu de porc', 'herbes', 'vedella', 'salsa de peix', 'sucre', 'xili', ""fideus d'arròs"", 'llimona', 'germinats']",6.9
Dovga (sopa d'iogurt i herbes),formal,tebi,alta,mitjana,primer,sopa_crema,Azerbaidjan,10.8,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['iogurt', 'arròs', 'ou', 'herbes', 'pèsols']","['iogurt', 'arròs', 'ou', 'herbes', 'pèsols']",6.9
Sopa miso tradicional,informal,calent,baixa,petita,primer,sopa_crema,Japó,6.5,"['empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['dashi', 'miso', 'tofu', 'wakame', 'daikon', 'fideus', 'cloïsses']","['dashi', 'miso', 'tofu', 'wakame', 'daikon', 'fideus', 'cloïsses']",5.0
Sopa de mongetes blanques toscana,informal,calent,mitjana,mitjana,primer,sopa_crema,Itàlia,7.38,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['mongetes blanques', 'brou de pollastre', 'all', 'alfàbrega', 'romer', 'flocs de xili']","['mongetes blanques', 'brou de pollastre', 'all', 'alfàbrega', 'romer', 'flocs de xili']",6.0
Sopa de mongetes negres amb salsa verda,informal,calent,mitjana,mitjana,primer,sopa_crema,Mèxic,7.57,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'brou', 'salsa verda', 'cilantre', 'comí']","['mongetes', 'brou', 'salsa verda', 'cilantre', 'comí']",6.0
Sopa de mongetes amb peix,formal,tebi,mitjana,mitjana,primer,sopa_crema,Internacional,9.62,"['casament', 'empresa', 'congres']",['estiu'],"['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'pastanaga', 'patata', 'peix', 'brou', 'espècies']","['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'pastanaga', 'patata', 'peix', 'brou', 'espècies']",6.9
Sopa de moniato i cacauet,informal,tebi,alta,mitjana,primer,sopa_crema,Malawi,6.63,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'all', 'moniato', 'brou', 'cacauets', 'comí', 'coriandre', 'espècies', 'llet de coco', 'cilantre']","['oli', 'ceba', 'all', 'moniato', 'brou', 'cacauets', 'comí', 'coriandre', 'espècies', 'llet de coco', 'cilantre']",6.0
Sopa tailandesa Tom Kha Kai,formal,tebi,mitjana,mitjana,primer,sopa_crema,Tailàndia,8.25,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['llet de coco', 'brou', 'citronel·la', 'galanga', 'xili', 'pollastre', 'ceba', 'tomàquet', 'bolets', 'sucre', 'pebre', 'llimona', 'soja', 'cilantro']","['llet de coco', 'brou', 'citronel·la', 'galanga', 'xili', 'pollastre', 'ceba', 'tomàquet', 'bolets', 'sucre', 'pebre', 'llimona', 'soja', 'cilantro']",5.0
Sopa tailandesa Tom Yum Gai,informal,tebi,mitjana,mitjana,primer,sopa_crema,Tailàndia,6.86,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'brou', 'bolets', 'tomàquet', 'citronel·la', 'llimona kafir', 'salsa de peix', 'llimona', 'sucre', 'xili']","['pollastre', 'brou', 'bolets', 'tomàquet', 'citronel·la', 'llimona kafir', 'salsa de peix', 'llimona', 'sucre', 'xili']",5.0
Crema de tomàquet i alfàbrega amb torradetes,formal,tebi,alta,mitjana,primer,sopa_crema,Itàlia,10.52,"['casament', 'empresa', 'congres']",['estiu'],"['tomàquet', 'nata', 'brou', 'sal', 'pebre', 'oli', 'pa', 'all', 'alfàbrega']","['tomàquet', 'nata', 'brou', 'sal', 'pebre', 'oli', 'pa', 'all', 'alfàbrega']",8.1
Crema de tomàquet rostits,informal,tebi,mitjana,mitjana,primer,sopa_crema,Internacional,6.78,"['empresa', 'aniversari']",['estiu'],"['oli', 'ceba', 'all', 'llorer', 'tomàquet', 'brou', 'sal', 'sucre', 'orenga']","['oli', 'ceba', 'all', 'llorer', 'tomàquet', 'brou', 'sal', 'sucre', 'orenga']",6.0
Vichyssoise (crema freda de patata i porro),informal,fred,baixa,mitjana,primer,sopa_crema,França,6.5,"['empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'mantega', 'porro', 'sallot', 'brou de pollastre', 'pebre blanc', 'vi blanc', 'nata', 'llet']","['patata', 'mantega', 'porro', 'sallot', 'brou de pollastre', 'pebre blanc', 'vi blanc', 'nata', 'llet']",5.0
Sopa de peix mediterrània amb tomàquet,informal,tebi,mitjana,mitjana,primer,sopa_crema,Mediterrània,7.46,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'chile', 'tomàquet', 'brou', 'sal']","['peix', 'chile', 'tomàquet', 'brou', 'sal']",6.0
Sopa mexicana de tortilla i pollastre,informal,calent,mitjana,mitjana,primer,sopa_crema,Mèxic,8.43,"['empresa', 'aniversari']",['estiu'],"['oli', 'ceba', 'all', 'tomàquet', 'brou', 'cilantro', 'pollastre', 'sal', 'pebre', 'xili', 'tortilla', 'formatge', 'olives']","['oli', 'ceba', 'all', 'tomàquet', 'brou', 'cilantro', 'pollastre', 'sal', 'pebre', 'xili', 'tortilla', 'formatge', 'olives']",6.0
Agnolotti in brodo,formal,calent,baixa,mitjana,primer,sopa_crema,Itàlia,10.22,"['casament', 'empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']",['formatge parmesà'],['formatge parmesà'],6.9
Sopa de verdures de temporada,informal,calent,baixa,gran,primer,sopa_crema,Internacional,8.15,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'nap', 'patata', 'pastanaga', 'col', 'aigua', 'sal']","['ceba', 'nap', 'patata', 'pastanaga', 'col', 'aigua', 'sal']",7.0
Sopa ucraïnesa de col (Kapusniak),informal,tebi,alta,mitjana,primer,sopa_crema,Ucraïna,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","[""oli d'oliva"", 'ceba', 'all', 'brou de pollastre', 'patata', 'pastanaga', 'peza de lletuga', 'espècies', 'coles', 'bacó', 'all', 'orenga', 'worcestershire', 'soia', 'paprika', 'sàlvia', 'sègol', 'iogurt']","[""oli d'oliva"", 'ceba', 'all', 'brou de pollastre', 'patata', 'pastanaga', 'peza de lletuga', 'espècies', 'coles', 'bacó', 'all', 'orenga', 'worcestershire', 'soia', 'paprika', 'sàlvia', 'sègol', 'iogurt']",5.0
Sopa goulash hongaresa,formal,tebi,alta,mitjana,primer,sopa_crema,Hongria,9.7,"['casament', 'empresa', 'congres']",['estiu'],"['carn', 'ceba', 'patata', 'oli', 'paprika', 'espècies', 'vinagre', 'brou']","['carn', 'ceba', 'patata', 'oli', 'paprika', 'espècies', 'vinagre', 'brou']",6.9
Rasam de tamarinde,informal,tebi,alta,petita,primer,sopa_crema,Índia,6.5,"['empresa', 'aniversari']",['estiu'],"['oli', 'cilantre', 'xili sec', 'comí', 'asafoetida', 'dal', 'cúrcuma', 'tomàquet', 'tamarinde', 'sucre', 'sal', 'aigua', 'mostassa', 'fulles de curri']","['oli', 'cilantre', 'xili sec', 'comí', 'asafoetida', 'dal', 'cúrcuma', 'tomàquet', 'tamarinde', 'sucre', 'sal', 'aigua', 'mostassa', 'fulles de curri']",5.0
Sayur Asem (sopa agredolça d'Indonèsia),informal,tebi,mitjana,mitjana,primer,sopa_crema,Indonèsia,6.96,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['xili', 'ceba', 'pastanaga', 'tamarinde', 'salam', 'mongeta', 'carbassó', 'blat de moro', 'jackfruit', 'cacauet', 'sal', 'sucre']","['xili', 'ceba', 'pastanaga', 'tamarinde', 'salam', 'mongeta', 'carbassó', 'blat de moro', 'jackfruit', 'cacauet', 'sal', 'sucre']",6.0
Sopa vietnamita de pollastre amb fideus (Phở Gà),informal,tebi,alta,gran,primer,sopa_crema,Vietnam,10.85,"['empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['espècies', 'brou de pollastre', 'ceba', 'sal', 'salsa de peix', 'fideus', 'herbes', 'brots de soja', 'ceba tendra', 'llimona', 'xili', 'salsa picant']","['espècies', 'brou de pollastre', 'ceba', 'sal', 'salsa de peix', 'fideus', 'herbes', 'brots de soja', 'ceba tendra', 'llimona', 'xili', 'salsa picant']",8.0
Sopa vietnamita de vedella amb fideus (Phở Bò),informal,tebi,alta,gran,primer,sopa_crema,Vietnam,12.15,"['empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'oli', 'ossos', 'gingebre', 'canyella', 'cardamom', 'clau', 'anís', 'pebre', 'fideus', 'vedella', 'xili', 'brots de soja', 'llimona', 'alfàbrega', 'salses']","['ceba', 'oli', 'ossos', 'gingebre', 'canyella', 'cardamom', 'clau', 'anís', 'pebre', 'fideus', 'vedella', 'xili', 'brots de soja', 'llimona', 'alfàbrega', 'salses']",8.0
Sopa miso simple de restaurant,informal,calent,baixa,petita,primer,sopa_crema,Japó,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['dashi', 'tòfu', 'cebollí', 'miso']","['dashi', 'tòfu', 'cebollí', 'miso']",4.5
Sopa mexicana de tomàquet,informal,calent,baixa,mitjana,primer,sopa_crema,Mèxic,6.5,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'ceba', 'pebrot', 'oli', 'sal', 'sucre']","['tomàquet', 'ceba', 'pebrot', 'oli', 'sal', 'sucre']",4.5
Spanakopita,informal,tebi,alta,mitjana,primer,entrant_calent,Grècia,7.27,"['empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['espinacs', 'ceba', ""oli d'oliva"", 'ceba tendra', 'julivert', 'anet', 'nou moscada', 'llimona', 'formatge feta', 'mató', 'parmesà', 'ou', 'pasta filo', 'mantega', 'pebre', 'sal']","['espinacs', 'ceba', ""oli d'oliva"", 'ceba tendra', 'julivert', 'anet', 'nou moscada', 'llimona', 'formatge feta', 'mató', 'parmesà', 'ou', 'pasta filo', 'mantega', 'pebre', 'sal']",6.0
Sushi nigiri,formal,fred,alta,petita,primer,entrant_fred,Japó,8.82,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['arròs de sushi', 'cobertura', 'wasabi', 'nori']","['arròs de sushi', 'cobertura', 'wasabi', 'nori']",6.0
Sushi gunkanmaki,formal,fred,alta,petita,primer,entrant_fred,Japó,9.09,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'nori', 'ouriço de mar', 'rovell de peix', 'cogombre', 'ou de codorniz']","['arròs', 'nori', 'ouriço de mar', 'rovell de peix', 'cogombre', 'ou de codorniz']",5.5
Tequeños veneçolans de formatge arrebossat,informal,calent,alta,mitjana,primer,entrant_calent,Veneçuela,6.77,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'oli', 'ou', 'sal', 'sucre', 'formatge blanc']","['farina', 'oli', 'ou', 'sal', 'sucre', 'formatge blanc']",5.0
