nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients
Abula (tres estofats nigerians),gran,alta,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['mongetes', 'carn', 'oli de palma', 'ceba', 'espècies', 'cranc sec', 'sal', 'peix sec', 'fulles', 'potassa', 'brou', 'llavors fermentades', 'pebrot', 'tomàquet']"
Sopa Achi,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn de cabra', 'carn', 'peix fumat', 'espècies', 'sal', 'ceba', 'pebrot', 'cranc sec', 'llavors fermentades', 'oli de palma', 'achi', 'fulles']"
Achicha amb fio fio (pèsols i taro),gran,alta,calent,primer,informal,6.0,['totes'],['tardor'],"['pèsols', 'ceba', 'sal', 'taro', 'oli de palma', 'pebrot', 'llavors fermentades', 'fulles']"
Caramels àcids,petita,alta,tebi,postres,informal,3.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sucre', 'aigua', 'nata', 'àcid cítric']"
Salmó amb crosta d’aglà,petita,alta,tebi,segon,formal,14.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'clares d’ou']"
Carbassa d’aglà amb melmelada d’aranja,mitjana,mitjana,calent,segon,formal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'melmelada', 'mantega', 'sal']"
Adalu (farineta de fesols i blat de moro),mitjana,mitjana,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'blat de moro', 'pebrot', 'espècies', 'sal', 'oli', 'ceba', 'cranc sec', 'carn']"
Pollastre adobado (filipí),mitjana,alta,tebi,segon,informal,9.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'vinagre', 'salsa de soja', 'clau', 'llorer', 'pebre']"
Macarrons amb formatge per a adults,mitjana,alta,calent,segon,informal,12.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pasta', 'nata', 'sal', 'formatge', 'mantega', 'farina', 'salsa picant']"
Adun (farina de blat de moro nigeriana),mitjana,mitjana,calent,segon,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de blat de moro', 'oli', 'cacauets', 'sal', 'pebrot', 'fulles']"
Sopa Afang,mitjana,alta,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'carn', 'ceba', 'espècies', 'oli de palma', 'fulles', 'sal', 'marisc']"
Affogato,petita,baixa,tebi,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['gelat', 'cafè']"
Afia Efere (sopa blanca Efik),mitjana,alta,tebi,primer,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'peix', 'nou moscada', 'espècies', 'nyam', 'cranc sec', 'pebrot', 'sal', 'brou', 'fulles']"
Estofat africà de col,mitjana,mitjana,tebi,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'all', 'api', 'col', 'patata', 'pastanaga', 'espècies', 'brou']"
Amanida africana I,mitjana,alta,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['abacha', 'peix', 'carn', 'oli de palma', 'cranc sec', 'pebrot', 'llavors fermentades', 'ceba', 'albergínia', 'fulles']"
Amanida africana II,mitjana,alta,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['abacha', 'ugba', 'oli de palma', 'potassa', 'espècies', 'pebrot', 'cranc sec', 'brou', 'ceba', 'ogiri', 'carn', 'peix', 'fulles', 'albergínia', 'sal']"
Gelatina d’àgar,mitjana,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['agar', 'sucre', 'aigua', 'llet', 'extracte d’ametlla', 'fruita', 'almívar']"
Agbugbu (farineta de pèsol i iuca),mitjana,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pèsols', 'nyam', 'ceba', 'cranc sec', 'pebrot', 'oli de palma', 'sal']"
Sopa Ager,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ager', 'oli de palma', 'carn', 'peix', 'espècies', 'sal', 'pebrot']"
Agidi Jollof,mitjana,alta,tebi,segon,formal,4.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['carn', 'espècies', 'ceba', 'oli', 'tomàquet', 'sal', 'blat de moro', 'fulles', 'ossos']"
Sopa d’agnolotti (agnolotti in brodo),mitjana,baixa,calent,primer,formal,9.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']",['formatge parmesà']
Ají de gallina (pollastre peruà amb chili),mitjana,mitjana,tebi,segon,formal,12.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'ceba', 'chili', 'sal', 'pebre', 'brou', 'pa', 'arròs', 'ou', 'patata', 'olives', 'formatge']"
Akabenz (pollastre fregit ruandès),mitjana,alta,tebi,segon,informal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sal', 'pebre', 'paprika', 'all', 'ceba', 'herbes', 'pollastre', 'oli']"
Akamu (flam nigerià),petita,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['akamu', 'aigua', 'llet', 'sucre']"
Akarange (salsa de tomàquet ruandesa),petita,mitjana,tebi,segon,informal,3.5,['totes'],['estiu'],"['oli', 'ceba', 'all', 'pebrot', 'tomàquet', 'espècies', 'sal', 'aigua']"
Akidi (farineta de mongetes negres),mitjana,baixa,calent,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'oli', 'sal', 'ceba', 'pebrot']"
Mandonguilles fregides albaneses,mitjana,alta,calent,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pa', 'carn', 'ceba', 'formatge', 'pa ratllat', 'oli', 'julivert', 'sal', 'pebre', 'menta', 'orenga', 'farina', 'ou']"
Carn albanesa amb nous,mitjana,alta,tebi,segon,formal,8.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'nous', 'rovell d’ou', 'all', 'mantega']"
Verdures mixtes albaneses,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['oli', 'ceba', 'tomàquet', 'julivert', 'sal', 'pebre']"
Púding albanès de figues estofades,mitjana,mitjana,fred,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sucre', 'llet', 'figues', 'canyella']"
Pastís vegetal albanès,mitjana,alta,tebi,postres,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'pasta filo', 'espinacs', 'formatge', 'ceba tendra', 'ou', 'sal']"
Pastís d’ale mostassa i verdures d’hivern,mitjana,alta,calent,postres,formal,7.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'nap', 'pastanaga', 'porro', 'xampinyons', 'proteïna vegetal', 'aigua', 'farina', 'mostassa', 'cervesa', 'pebre']"
Alfajores llatinoamericans,petita,alta,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'sucre', 'ou', 'vainilla', 'llimona', 'midó de blat de moro', 'farina', 'llevat químic', 'sal', 'dulce de leche']"
Baghrir algerià,petita,baixa,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sèmola', 'farina', 'llevat', 'sucre', 'sal', 'ou', 'aigua', 'llevat químic']"
Guisat algerià de verdures amb pa pla,mitjana,alta,calent,segon,informal,6.0,['totes'],['estiu'],"['oli', 'ceba', 'all', 'sal', 'pebre', 'paprika', 'tomàquet', 'cigrons', 'pebrot', 'carn', 'aigua', 'pa']"
Cuscús algerià,mitjana,mitjana,calent,segon,informal,5.0,['totes'],['estiu'],"['oli', 'xai', 'sal', 'pebre', 'curri', 'patata', 'ceba', 'pastanaga', 'tomàquet', 'aigua', 'verdures', 'espècies', 'cuscús', 'mantega']"
Alicha Wot (estofat etíop suau),mitjana,alta,tebi,segon,informal,6.5,['totes'],['estiu'],"['oli', 'ceba', 'all', 'espècies', 'gingebre', 'tomàquet', 'cúrcuma', 'comí', 'coriandre', 'sal', 'carn', 'pebre', 'brou', 'julivert']"
Alkubus (pa al vapor nigerià),petita,alta,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'llevat', 'sal', 'llevat químic', 'aigua', 'oli']"
Pastís d’ametlla,petita,alta,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'sucre', 'ou', 'vainilla', 'ametlles', 'farina', 'sucre llustre']"
Brownies cremós d’ametlla,mitjana,mitjana,tebi,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'sucre', 'oli', 'llet', 'ou', 'cacau', 'farina', 'ametlla', 'vainilla']"
Bombons calents d’ametlla,petita,alta,calent,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ametlles', 'sucre', 'aigua de roses', 'llimona']"
Meringues d’ametlla,petita,alta,tebi,postres,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['clara d’ou', 'sucre', 'ametlles']"
Llet d’ametlles amb ametlles,mitjana,baixa,fred,postres,informal,3.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ametlles', 'aigua', 'dàtils']"
Farinetes d’ametlla,mitjana,mitjana,fred,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sucre', 'sal', 'llevat químic', 'llevat de sodi', 'llet', 'ou', 'mantega', 'extracte d’ametlla', 'oli']"
Blondies d’ametlla i toffee,mitjana,mitjana,tebi,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'llevat químic', 'sal', 'mantega', 'sucre', 'ou', 'ametlles', 'vainilla']"
Tortetes de patata especiada (Aloo Tikki),petita,alta,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'pebrot', 'coriandre', 'mango', 'oli', 'sal']"
Fricandó de pollastre a l’alsaciana,mitjana,alta,calent,segon,informal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'xampinyons', 'bacó', 'ceba', 'all', 'mantega', 'vi', 'julivert', 'farina', 'oli', 'espècies']"
Guisat de peix a l’alsaciana,mitjana,alta,calent,segon,informal,8.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'cranc', 'ceba', 'sucre', 'mantega', 'farina', 'nata', 'herbes', 'pebre', 'all', 'ceba tendra', 'xampinyons', 'julivert']"
Fideus frescos a l’alsaciana,mitjana,mitjana,tebi,segon,informal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'sal', 'vinagre', 'farina', 'mantega']"
Puré de ñame yoruba (Amala),mitjana,mitjana,calent,segon,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de nyam', 'aigua']"
Amala amb ewedu i estofat,mitjana,alta,calent,segon,informal,5.5,['totes'],['estiu'],"['aigua', 'farina', 'fulles', 'pebrot', 'tomàquet', 'sal', 'carn', 'peix']"
Fufu de plàtan nigerià (Amala Ọgẹdẹ),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de plàtan', 'aigua']"
Amanida de fruites Ambrosia,mitjana,baixa,fred,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['nata', 'nata agra', 'marshmallows']"
Salsa Alfredo americana,mitjana,alta,calent,segon,informal,7.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['nata', 'mantega', 'formatge', 'sal', 'pebre']"
Salsa marinara americana I,mitjana,mitjana,tebi,segon,formal,4.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['mantega', 'oli', 'all', 'ceba', 'orenga', 'pebrot', 'tomàquet', 'sal', 'sucre', 'pebre']"
Salsa marinara americana II,petita,alta,tebi,segon,informal,5.0,['totes'],['estiu'],"['oli', 'ametlles', 'orenga', 'farigola', 'pebrot', 'alfàbrega', 'tomàquet', 'vi', 'sal', 'pebre', 'formatge parmesà']"
Amanida de patata americana I,mitjana,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'sal', 'vinagre', 'api', 'maionesa', 'mostassa', 'ceba', 'julivert', 'pebre', 'relish']"
Amanida de patata americana II,mitjana,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'sal', 'pebre', 'ou', 'ceba', 'alfàbrega', 'blat de moro', 'llimona', 'oli', 'espècies']"
Porridge d’arrel d’amora nigerià,mitjana,alta,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['fetge', 'ceba', 'pebrot', 'brou', 'sal', 'oli de palma', 'pastanaga', 'pèsols', 'midó']"
Salsa verda d’anxova i herbes,petita,baixa,tebi,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'anxoves', 'julivert', 'romaní', 'farigola', 'menta', 'pebre']"
Pastissos romans antics (Ova Sfongia Ex Lacte),mitjana,mitjana,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'llet', 'oli', 'sal', 'farina', 'mel', 'pebre', 'dàtils']"
Celestialitats en cavall (ostres amb bacó),mitjana,mitjana,tebi,segon,formal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vi blanc', 'all', 'sal', 'pebre', 'ostres', 'bacó']"
Pa d’anís (Penia),petita,alta,tebi,postres,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['llevat', 'aigua', 'ou', 'sucre', 'mantega', 'sal', 'anís', 'farina']"
Anzac Biscuits I,mitjana,mitjana,calent,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sucre', 'civada', 'coco', 'mel', 'mantega', 'bicarbonat']"
Anzac Biscuits II,mitjana,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'civada', 'coco', 'sucre', 'mantega', 'mel', 'bicarbonat', 'aigua']"
Rotllets d’arròs fermentat (Appam),petita,alta,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'coco', 'sucre', 'sal', 'aigua', 'llevat']"
Pastís de poma i ametlla,mitjana,mitjana,tebi,postres,informal,6.0,['totes'],"['hivern', 'tardor']","['mantega', 'ou', 'sucre', 'ametlla', 'farina', 'llevat químic', 'poma', 'sucre llustre']"
Bars de poma,petita,mitjana,tebi,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['farina', 'sucre', 'ou', 'mantega', 'canyella', 'gingebre', 'nou moscada', 'poma']"
Salsa BBQ de poma,petita,mitjana,tebi,segon,informal,4.5,['totes'],"['hivern', 'tardor']","['tomàquet', 'sucre', 'melassa', 'melmelada', 'vinagre', 'salsa picant']"
Brown Betty de poma,mitjana,mitjana,calent,postres,informal,5.5,['totes'],"['hivern', 'tardor']","['pa ratllat', 'sucre', 'mantega', 'canyella', 'poma', 'aigua']"
Bundt cake de poma,mitjana,mitjana,tebi,postres,informal,6.0,['totes'],"['hivern', 'tardor']","['sucre', 'pell de cítric', 'ou', 'oli', 'vainilla', 'farina', 'espècies', 'poma', 'raïm sec']"
Pastís de poma,gran,alta,calent,postres,informal,7.0,['totes'],"['hivern', 'tardor']","['mantega', 'sucre', 'ou', 'farina', 'llevat químic', 'canyella', 'nou moscada', 'poma', 'nata muntada']"
Cobbler de poma,mitjana,mitjana,calent,postres,informal,5.5,['totes'],"['hivern', 'tardor']","['poma', 'sucre', 'aigua', 'farina', 'llevat químic', 'mantega', 'ou', 'llet']"
Apple Crisp I,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['poma', 'farina', 'civada', 'canyella', 'mantega', 'sucre morè']"
Apple Crisp II,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['poma', 'llimona', 'farina', 'sucre morè', 'civada', 'sal', 'canyella', 'mantega']"
Apple Crisp III,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['poma', 'llimona', 'aigua', 'canyella', 'mantega', 'sucre morè', 'civada', 'farina', 'nou moscada', 'nata']"
Pastís de poma amb crosta,gran,alta,tebi,postres,formal,7.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']",['poma']
Garrí cruixent amb poma,mitjana,mitjana,tebi,segon,formal,8.0,['totes'],"['hivern', 'tardor']","['pernil', 'poma seca', 'espècies', 'cola']"
Fritures de poma,mitjana,alta,tebi,postres,informal,6.0,['totes'],"['hivern', 'tardor']","['poma', 'sucre', 'ou', 'farina', 'mantega', 'oli', 'sucre llustre']"
Xops de porc glassejats amb poma,mitjana,alta,tebi,segon,informal,7.0,['totes'],"['hivern', 'tardor']","['porc', 'espècies', 'sucre', 'vinagre']"
Gelatina de poma (Apple Jelly),mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['poma', 'sucre', 'aigua', 'gelatina']"
Sopa freda de poma i pastanaga,mitjana,mitjana,fred,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'oli', 'poma', 'pastanaga', 'nap', 'llimona', 'canyella']"
Pastís de poma I,gran,alta,tebi,postres,formal,7.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'mantega', 'greix', 'sal', 'aigua', 'poma', 'llimona', 'llet', 'sucre']"
Pastís de poma II,gran,alta,tebi,postres,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'mantega', 'greix', 'sal', 'aigua', 'poma', 'canyella', 'sucre']"
Pa de poma i patata,mitjana,alta,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'mantega', 'farina', 'sal', 'poma', 'sucre', 'canyella', 'oli']"
Púding de poma,mitjana,alta,tebi,postres,informal,5.5,['totes'],"['hivern', 'tardor']","['sucre', 'ou', 'farina', 'llevat químic', 'vainilla', 'nous', 'poma']"
Magdalenes de poma panses i civada,gran,alta,fred,postres,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'civada', 'llevat químic', 'ou', 'sucre', 'llet', 'oli', 'poma', 'canyella', 'nou moscada', 'panses']"
Magdalenes de poma amb crumble,mitjana,alta,calent,postres,informal,5.5,['totes'],"['hivern', 'tardor']","['sucre morè', 'farina', 'canyella', 'mantega', 'ou', 'llet', 'oli', 'poma']"
Strudel de poma,gran,alta,tebi,postres,formal,7.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'sal', 'aigua', 'oli', 'pa ratllat', 'poma', 'sucre', 'canyella', 'panses', 'nous']"
Costelles de porc farcides de poma,mitjana,alta,tebi,segon,informal,8.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'llimona', 'mel', 'sal', 'poma', 'espècies']"
Llom de porc farcit de poma,gran,alta,calent,segon,formal,8.5,['totes'],"['hivern', 'tardor']","['porc', 'poma', 'espècies', 'oli', 'mostassa']"
Farcit de poma per rostits,mitjana,mitjana,calent,primer,formal,5.5,['totes'],"['hivern', 'tardor']","['pa', 'poma seca', 'melmelada', 'nous', 'sucre', 'ou']"
Tapioca de poma,mitjana,mitjana,tebi,postres,informal,4.5,['totes'],"['hivern', 'tardor']","['tapioca', 'aigua', 'sal', 'poma', 'sucre', 'canyella', 'mantega']"
Crumble de poma i pera,mitjana,mitjana,calent,postres,informal,5.5,['totes'],"['hivern', 'tardor']","['poma', 'pera', 'farina', 'sucre morè', 'mantega', 'civada']"
Pastís de poma amb compota,mitjana,mitjana,tebi,postres,informal,5.0,['totes'],"['hivern', 'tardor']","['mantega', 'sucre', 'raïm sec', 'farina', 'espècies', 'ametlles', 'llevat químic', 'compota de poma']"
Bacó fumat amb fusta de pomer,mitjana,mitjana,tebi,segon,informal,7.0,['totes'],"['hivern', 'tardor']","['porc', 'sal', 'sucre', 'vinagre', 'fusta']"
Amanida de pollastre amb albercocs,mitjana,baixa,fred,primer,informal,5.5,['totes'],"['hivern', 'tardor']","['pollastre', 'api', 'poma', 'mel', 'iogurt', 'albercoc', 'espècies']"
Vi d’albercoc,petita,mitjana,fred,postres,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['albercoc', 'aigua', 'sucre', 'raïm sec', 'gingebre', 'cítrics']"
Rotllets de col agra croats (Arambasici),mitjana,alta,tebi,segon,formal,6.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['carn', 'pernil', 'seu de vedella', 'xai', 'ceba', 'all', 'espècies', 'sal', 'pebre', 'brou']"
Arancini (croquetes italianes d’arròs),mitjana,alta,tebi,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'pebre', 'ou', 'oli']"
Pollastre arisa (malaisi),mitjana,alta,calent,segon,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'cereals', 'ceba', 'all', 'espècies', 'sal', 'oli']"
Arisa Pitha (dolç fregit d’arròs indi),petita,alta,tebi,postres,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'sucre', 'sal', 'espècies', 'ghee', 'coco', 'oli']"
Arròs amb pèsols gandules,mitjana,alta,tebi,segon,informal,5.0,['totes'],['estiu'],"['ceba', 'pebrot', 'all', 'coriandre', 'tomàquet', 'oli', 'espècies', 'arròs', 'brou', 'fulles']"
Arròs amb blat de moro,mitjana,alta,tebi,segon,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['ceba', 'pebrot', 'all', 'oli', 'espècies', 'arròs', 'brou', 'vi', 'fulles']"
Arròs amb pollastre,gran,alta,tebi,segon,informal,8.0,['totes'],['estiu'],"['pollastre', 'oli', 'all', 'ceba', 'pebrot', 'tomàquet', 'espècies', 'arròs', 'brou']"
Arròs negre valencià amb sípia,mitjana,alta,tebi,segon,informal,9.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['sípi', 'pebrot', 'all', 'arròs', 'tinta', 'espècies', 'oli']"
Farinetes de blat de moro nigerianes,mitjana,mitjana,calent,primer,informal,4.0,['totes'],['tardor'],"['blat de moro', 'coco', 'aigua', 'ceba', 'cranc sec', 'peix sec', 'oli', 'sal', 'espècies']"
Halwa d’azuki (púding de mongetes mung),mitjana,alta,tebi,postres,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'aigua', 'sucre', 'ghee', 'farina', 'espècies', 'nous']"
Sopa Ashwe,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],['estiu'],"['pebrot', 'tomàquet', 'ceba', 'fulles', 'oli', 'carn', 'sal']"
Costelles BBQ asiàtiques,gran,alta,tebi,segon,informal,9.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['porc', 'espècies', 'salsa', 'mel', 'vinagre', 'oli']"
Pit de ànec a la brasa estil asiàtic,gran,alta,tebi,segon,formal,10.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ànec', 'sal', 'pebre', 'espècies', 'oli']"
Salmó a la graella estil asiàtic,mitjana,alta,tebi,segon,informal,9.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['salmó', 'soja', 'oli', 'espècies', 'gingebre', 'all', 'sucre', 'cilantre']"
Amanida asiàtica de pollastre,mitjana,alta,fred,primer,informal,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'bròquil', 'pèsols', 'verdures', 'pastanaga', 'mango', 'sèsam']"
Farinetes sudaneses (Asida),mitjana,mitjana,tebi,postres,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'aigua', 'sal', 'dolç', 'espècies', 'oli']"
