nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,categoria,procedencia_plat
Cogombre fregit,petita,mitjana,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'ou', 'farina', 'salsa worcestershire', 'salsa picant', 'sal', 'pebre', 'cogombre', 'oli']",entrant_calent,Estats Units
Colcannon (puré irlandès de col i patata),mitjana,alta,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'nata', 'espècies', 'col', 'porro', 'mantega', 'formatge', 'sal', 'pebre']",vegetal_entrant,Irlanda
Colcannon escocès,mitjana,baixa,calent,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'col', 'patata', 'sal', 'pebre']",vegetal_entrant,Escòcia
Coliflor polonesa amb pa ratllat,mitjana,baixa,calent,primer,informal,4.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['coliflor', 'mantega', 'pa ratllat', 'anet']",vegetal_entrant,Polònia
Congee (porridge d’arròs xinès),petita,mitjana,tebi,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'aigua', 'soia', 'oli', 'pebre blanc', 'ceba tendra', 'cilantro', 'sèsam']",sopa_crema,Xina
Consommé clàssic,petita,alta,tebi,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['brou de pollastre o vedella', 'sal', 'pebre', 'clara d’ou', 'vi o conyac']",sopa_crema,França
Crema de bolets,mitjana,alta,calent,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['mantega', 'farina', 'brou', 'oli', 'bolets', 'xeri']",sopa_crema,Internacional
Crema de carbassa especiada,alta,alta,tebi,primer,informal,5.5,['totes'],['tardor'],"['mantega', 'ceba', 'farina', 'curry', 'comí', 'nou moscada', 'all', 'moniato', 'sal', 'brou vegetal', 'carbassa', 'llet', 'llimona']",sopa_crema,Internacional
Crema de carbassa violí,mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['carbassa', 'ceba', 'oli', 'all', 'brou', 'xerès', 'nou moscada']",sopa_crema,Internacional
Crema de mongetes i espelta,petita,baixa,tebi,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'espelta', 'oli', 'all', 'sal', 'pebre', 'herbes']",sopa_crema,Internacional
Crema de pastanaga i coriandre,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'pastanaga', 'coriandre', 'brou de verdures', 'sal', 'pebre']",sopa_crema,Internacional
Crema d’espàrrecs,mitjana,mitjana,tebi,primer,formal,5.5,['totes'],['primavera'],"['espàrrecs', 'aigua', 'ceba', 'mantega', 'nata', 'espècies']",sopa_crema,Internacional
Cullen Skink (sopa escocesa d’eixarrada i patata),mitjana,alta,calent,primer,formal,6.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['eixarrada', 'ceba', 'llet', 'mantega', 'patata', 'sal', 'pebre', 'herbes', 'pa']",sopa_crema,Escòcia
Empanadetes Pot Stickers,petita,alta,tebi,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['envolcalls', 'farcit']",entrant_calent,Xina
Entrepans de mantega de cacauet al grill,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pa', 'cacauet', 'mantega']",entrant_calent,Estats Units
Entrepà cubà I,petita,baixa,fred,primer,informal,4.0,['totes'],['estiu'],"['pernil', 'ham', 'formatge', 'tomàquet', 'mostassa', 'ceba', 'pa', 'enciam', 'maionesa', 'pebrot']",entrant_fred,Cuba
Entrepà de brots i cogombre,petita,baixa,fred,primer,informal,4.0,['totes'],['estiu'],"['pa', 'formatge', 'cogombre', 'germinats', 'oli', 'vinagre', 'tomàquet', 'enciam', 'alvocat', 'sal', 'pebre']",entrant_fred,Internacional
Entrepà de melmelada,petit,baixa,fred,primer,informal,2.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","[‘pa’, ‘melmelada’]",entrant_fred,Internacional
Estofat de patata nigerià,mitjana,mitjana,tebi,primer,informal,5.5,['totes'],['tardor'],"['patata', 'aigua', 'oli', 'fulles', 'ceba', 'xili', 'cub de brou', 'sal', 'carn', 'peix sec']",entrant_calent,Nigèria
Estofat de pollastre i patata (Ajiaco),gran,alta,tebi,primer,informal,7.5,['totes'],['estiu'],"['pollastre', 'brou', 'ceba', 'ceba tendra', 'pastanaga', 'all', 'llorer', 'timó', 'comí', 'cilantro', 'pebre', 'tomato paste', 'patates de colors', 'aigua', 'pèsols', 'plàtan', 'nata']",entrant_calent,Colòmbia
Estofat de xai i verdures de Liverpool,mitjana,mitjana,tebi,primer,informal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'pastanaga', 'aigua', 'patata', 'carne']",entrant_calent,Regne Unit
Estofat japonès de carn i patates (Niku Jaga),mitjana,mitjana,tebi,primer,formal,6.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['vedella', 'patata', 'ceba', 'aigua', 'mirin', 'soja', 'sucre', 'shiitake']",entrant_calent,Japó
Farcit de poma per rostits,mitjana,mitjana,calent,primer,formal,5.5,['totes'],"['hivern', 'tardor']","['pa', 'poma seca', 'melmelada', 'nous', 'sucre', 'ou']",entrant_calent,Regne Unit
Farcit nadalenc,mitjana,baixa,calent,primer,informal,5.0,['totes'],"['hivern', 'tardor']","['pa', 'rovells', 'sal', 'pebre', 'sàlvia', 'melmelada', 'poma seca', 'nous', 'mantega']",entrant_calent,Regne Unit
Farcit tradicional (stuffing),mitjana,mitjana,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'herbes', 'sàlvia', 'pa', 'all', 'oli']",entrant_calent,Regne Unit
Farineta de blat de moro i mongetes nigerianes,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['blat de moro', 'mongetes', 'ceba', 'cranc sec', 'pebre', 'cub de brou', 'oli', 'sal']",farinaci_entrant,Nigèria
Farineta de llenties nigeriana,mitjana,mitjana,calent,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llenties', 'aigua', 'oli', 'pebre', 'ceba', 'sal']",farinaci_entrant,Nigèria
Farinetes de blat de moro nigerianes,mitjana,mitjana,calent,primer,informal,4.0,['totes'],['tardor'],"['blat de moro', 'coco', 'aigua', 'ceba', 'cranc sec', 'peix sec', 'oli', 'sal', 'espècies']",farinaci_entrant,Nigèria
Farinetes de mongetes i nyam nigerianes,mitjana,mitjana,calent,primer,informal,5.5,['totes'],['estiu'],"['mongetes', 'ceba', 'nyam', 'oli', 'tomàquet', 'cranc sec', 'peix', 'llorer', 'pollastre', 'cub de brou', 'verdures de fulla']",farinaci_entrant,Nigèria
Farinetes d’ordi etíop (Genfo),mitjana,mitjana,fred,primer,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina d’ordi torrat', 'aigua', 'sal', 'mantega', 'oli', 'dolç', 'espècies']",farinaci_entrant,Etiòpia
Fideus per a sopa,petita,baixa,tebi,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'farina']",farinaci_entrant,Internacional
Flor de ceba fregida,petita,alta,tebi,primer,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'oli', 'farina', 'espècies', 'nata agra', 'salsa chili']",entrant_calent,Estats Units
Fons de vedella,mitjana,mitjana,tebi,primer,formal,5.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']",['estiu'],"['ossos de vedella', 'pollastre', 'ceba', 'pastanaga', 'api', 'porro', 'all', 'julivert', 'farigola', 'llorer', 'pebre', 'sal', 'tomàquet', 'puré de tomàquet']",sopa_crema,França
Formatge en torrada,petita,baixa,calent,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pa', 'formatge', 'toppings']",entrant_calent,Internacional
Formatge fregit nigerià (Wara),mitjana,mitjana,tebi,primer,informal,5.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['llet', 'llimona', 'oli']",entrant_calent,Nigèria
Formatge i galetes,petita,baixa,fred,primer,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['formatge', 'galetes']",entrant_fred,Internacional
