nom_plat,formalitat,temperatura,complexitat,mida_racio,te_ordre,categoria,procedencia_plat,preu_cost,apte_esdeveniment,disponibilitat,ingredients,ingredients_norm
Warak Enab Mahshi (fulles de parra),formal,tebi,alta,petita,primer,amanida_fresca,Egipte,9.37,"['casament', 'empresa', 'congres']",['totes'],"['fulles de parra', 'arròs', 'ceba', 'herbes', 'oli', 'llimona', 'comí', 'coriandre', 'sal', 'pebre']","['fulles de parra', 'arròs', 'ceba', 'herbes', 'oli', 'llimona', 'comí', 'coriandre', 'sal', 'pebre']"
Gaspatxo andalús tradicional,informal,fred,mitjana,mitjana,primer,amanida_fresca,Espanya,6.78,"['empresa', 'congres', 'aniversari']",['estiu'],"['pa', 'tomàquet', 'pebrot', 'cogombre', 'all', 'vinagre', 'oli', 'sal', 'pebre', 'gel']","['pa', 'tomàquet', 'pebrot', 'cogombre', 'all', 'vinagre', 'oli', 'sal', 'pebre', 'gel']"
Gaspatxo de préssec i tomàquet,informal,fred,mitjana,mitjana,primer,amanida_fresca,Espanya,6.61,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'préssec', 'gel', 'ceba tendra', 'oli', 'vinagre', 'estragó', 'sal', 'pebre']","['tomàquet', 'préssec', 'gel', 'ceba tendra', 'oli', 'vinagre', 'estragó', 'sal', 'pebre']"
Rotllets d'estiu vietnamites,informal,fred,baixa,mitjana,primer,entrant_fred,Vietnam,6.5,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"[""galetes d'arròs"", 'gamba', 'porc', 'vermicell', 'cogombre', 'herbes', 'aigua']","[""galetes d'arròs"", 'gamba', 'porc', 'vermicell', 'cogombre', 'herbes', 'aigua']"
Onigiri japonès farcit,informal,fred,baixa,petita,primer,entrant_fred,Japó,6.5,"['empresa', 'congres', 'aniversari']",['totes'],"['arròs', 'farcit', 'umeboshi', 'ton', 'salmó', 'ou', 'nori']","['arròs', 'farcit', 'umeboshi', 'ton', 'salmó', 'ou', 'nori']"
Patates a la Huancaína,informal,fred,mitjana,mitjana,primer,entrant_fred,Perú,8.01,"['empresa', 'aniversari']",['totes'],"['patata', 'formatge', 'aji', 'llet evaporada', 'all', 'olives']","['patata', 'formatge', 'aji', 'llet evaporada', 'all', 'olives']"
Paté vegà d'hivern,formal,fred,mitjana,mitjana,primer,entrant_fred,Internacional,9.56,"['casament', 'empresa', 'congres']",['totes'],"['ceba', 'nous', 'pèsols', 'sal', 'pebre', 'comí']","['ceba', 'nous', 'pèsols', 'sal', 'pebre', 'comí']"
Còctel de cranc i blat de moro amb maionesa lleugera,formal,fred,baixa,petita,primer,entrant_fred,Estats Units,8.62,"['casament', 'empresa']",['totes'],"['cranc', 'blat de moro', 'maionesa', 'ceba', 'formatge suau']","['cranc', 'blat de moro', 'maionesa', 'ceba', 'formatge suau']"
Amanida de tonyina amb herbes mediterrànies i feta,informal,fred,baixa,mitjana,primer,entrant_fred,Mediterrània,6.81,"['empresa', 'aniversari']",['totes'],"['tonyina', 'sal', 'pebre', 'mostassa', 'llimona', 'oli', 'alfàbrega', 'farigola', 'orenga', 'julivert', 'feta']","['tonyina', 'sal', 'pebre', 'mostassa', 'llimona', 'oli', 'alfàbrega', 'farigola', 'orenga', 'julivert', 'feta']"
Bruschetta de tomàquet i mozzarella fresca,informal,tebi,mitjana,mitjana,primer,entrant_fred,Itàlia,7.43,"['empresa', 'aniversari']",['estiu'],"['pa', 'tomàquet', 'mozzarella', 'alfàbrega', 'sal', 'pebre', 'oli', 'vinagre']","['pa', 'tomàquet', 'mozzarella', 'alfàbrega', 'sal', 'pebre', 'oli', 'vinagre']"
Gyoza a la planxa (pot stickers),formal,tebi,alta,petita,primer,entrant_calent,Xina,7.37,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"['envolcalls', 'farcit']","['envolcalls', 'farcit']"
Gyoza de porc a la planxa,formal,calent,alta,petita,primer,entrant_calent,Japó,8.16,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"['porc', 'mostassa', 'salsa de soja', 'envolcall', 'salses']","['porc', 'mostassa', 'salsa de soja', 'envolcall', 'salses']"
Rotllets de primavera vegetarians cruixents,formal,tebi,alta,mitjana,primer,entrant_calent,Xina,7.97,"['casament', 'empresa', 'congres', 'aniversari']",['totes'],"['farina', 'ou', 'sal', 'aigua', 'oli', 'pastanaga', 'porro', 'gingebre', 'all', 'col', 'xampinyó', 'germinats', 'xili', 'soja', 'pebre blanc']","['farina', 'ou', 'sal', 'aigua', 'oli', 'pastanaga', 'porro', 'gingebre', 'all', 'col', 'xampinyó', 'germinats', 'xili', 'soja', 'pebre blanc']"
Pakora de patata amb gingebre,informal,calent,alta,petita,primer,entrant_calent,Índia,6.81,"['empresa', 'aniversari']",['totes'],"['farina de cigró', 'oli', 'xili', 'gingebre', 'sal', 'pebre', 'patata']","['farina de cigró', 'oli', 'xili', 'gingebre', 'sal', 'pebre', 'patata']"
Bonda índia de patata i cigró (frita),formal,tebi,alta,petita,primer,entrant_calent,Índia,7.38,"['empresa', 'congres', 'aniversari']",['totes'],"['patata', 'ceba', 'chili', 'cilantre', 'gingebre', 'all', 'sal', 'farina de cigró', ""farina d'arròs"", 'llevat', 'aigua', 'oli']","['patata', 'ceba', 'chili', 'cilantre', 'gingebre', 'all', 'sal', 'farina de cigró', ""farina d'arròs"", 'llevat', 'aigua', 'oli']"
Pastissets de peix tailandesos (Tod Mun),informal,calent,alta,mitjana,primer,entrant_calent,Tailàndia,8.89,"['empresa', 'aniversari']",['totes'],"['peix', 'pasta de curry', 'ou', 'fulles de llima']","['peix', 'pasta de curry', 'ou', 'fulles de llima']"
Portobello farcit amb formatges i herbes,formal,calent,mitjana,mitjana,primer,vegetal_entrant,Itàlia,12.35,"['casament', 'empresa', 'congres']",['totes'],"['bolets', 'vinagre', 'all', 'ou', 'formatge fresc', 'formatge mozzarella', 'pa ratllat', 'sal', 'pebre']","['bolets', 'vinagre', 'all', 'ou', 'formatge fresc', 'formatge mozzarella', 'pa ratllat', 'sal', 'pebre']"
Pebrots farcits de formatge (Chushki Byurek),formal,calent,mitjana,mitjana,primer,entrant_calent,Bulgària,10.17,"['casament', 'empresa', 'congres']",['totes'],"['pebrot vermell', 'formatge', 'ou', 'oli', 'sal', 'julivert']","['pebrot vermell', 'formatge', 'ou', 'oli', 'sal', 'julivert']"
Zippuli italians de patata i parmesà,formal,calent,alta,mitjana,primer,entrant_calent,Itàlia,12.62,"['empresa', 'congres', 'aniversari']",['totes'],"['sal', 'llevat químic', 'all', 'formatge parmesà', 'julivert', 'patata', 'ou']","['sal', 'llevat químic', 'all', 'formatge parmesà', 'julivert', 'patata', 'ou']"
Carxofa al vapor amb cítrics i herbes,formal,calent,baixa,mitjana,primer,vegetal_entrant,Mediterrània,10.03,"['casament', 'empresa']",['totes'],"['sal', 'oli', 'carxofa', 'llimona', 'julivert', 'all', 'vi']","['sal', 'oli', 'carxofa', 'llimona', 'julivert', 'all', 'vi']"
Cigrons picants amb mostassa i pebre,informal,calent,mitjana,mitjana,primer,vegetal_entrant,Índia,7.97,"['empresa', 'aniversari']",['totes'],"['cigrons', 'oli', 'mostassa', 'pebre', 'sal']","['cigrons', 'oli', 'mostassa', 'pebre', 'sal']"
Quinoa amb shiitake i adzuki,informal,calent,mitjana,mitjana,primer,vegetal_entrant,Japó,8.95,"['empresa', 'aniversari']",['totes'],"['pastanaga', 'ceba tendra', 'bolets shiitake', 'mongetes adzuki', 'quinoa', 'oli', 'brou', 'sal', 'pebre']","['pastanaga', 'ceba tendra', 'bolets shiitake', 'mongetes adzuki', 'quinoa', 'oli', 'brou', 'sal', 'pebre']"
Arròs persa cruixent (Tahdig),formal,tebi,alta,mitjana,primer,farinaci_entrant,Irà,9.83,"['casament', 'empresa', 'congres']",['totes'],"['patata', 'arròs', 'oli', 'sal', 'aigua']","['patata', 'arròs', 'oli', 'sal', 'aigua']"
Arròs negre amb sèpia i tinta natural,formal,tebi,alta,mitjana,primer,farinaci_entrant,Comunitat Valenciana / Catalunya (Espanya),9.76,"['casament', 'empresa']",['totes'],"['arròs', 'sèpia', 'tinta de sèpia', ""oli d'oliva"", 'all', 'pebre', 'sal', 'aigua']","['arròs', 'sèpia', 'tinta de sèpia', ""oli d'oliva"", 'all', 'pebre', 'sal', 'aigua']"
Arròs a banda amb allioli suau,formal,tebi,alta,mitjana,primer,farinaci_entrant,Alacant / Múrcia (Espanya),10.66,"['casament', 'empresa']",['totes'],"['arròs', 'fumet de peix', ""oli d'oliva"", 'all', 'sal', 'aigua']","['arròs', 'fumet de peix', ""oli d'oliva"", 'all', 'sal', 'aigua']"
Bisque fina de llagosta,formal,calent,mitjana,petita,primer,sopa_crema,França,7.75,"['casament', 'empresa', 'congres']",['totes'],"['llagosta', 'brou', 'nata', 'anet', 'llimona', 'oli', 'api', 'ceba', 'all', 'sal', 'pebre', 'llorer']","['llagosta', 'brou', 'nata', 'anet', 'llimona', 'oli', 'api', 'ceba', 'all', 'sal', 'pebre', 'llorer']"
Crema d'espàrrecs tendres,formal,tebi,mitjana,mitjana,primer,sopa_crema,Internacional,8.97,"['casament', 'empresa', 'congres']",['primavera'],"['espàrrecs', 'aigua', 'ceba', 'mantega', 'nata', 'espècies']","['espàrrecs', 'aigua', 'ceba', 'mantega', 'nata', 'espècies']"
Sopa de ceba gratinada,informal,tebi,mitjana,mitjana,primer,sopa_crema,França,8.59,"['empresa', 'aniversari']",['totes'],"['ceba', 'mantega', 'farina', 'brou de vedella', 'herbes', 'pa', 'gruyère', 'nutmeg', 'sal', 'pebre']","['ceba', 'mantega', 'farina', 'brou de vedella', 'herbes', 'pa', 'gruyère', 'nutmeg', 'sal', 'pebre']"
Sopa cremosa de bolets clàssica,formal,calent,alta,gran,primer,sopa_crema,Internacional,11.71,"['casament', 'empresa', 'congres']",['totes'],"['bolets', 'mantega', 'farina', 'ceba', 'llet', 'nata', 'sal', 'julivert']","['bolets', 'mantega', 'farina', 'ceba', 'llet', 'nata', 'sal', 'julivert']"
Sopa de blat de moro amb gambes,formal,calent,alta,mitjana,primer,sopa_crema,Internacional,8.72,"['casament', 'empresa', 'congres']",['totes'],"['oli', 'ceba', 'pastanaga', 'all', 'brou', 'anís', 'blat de moro', 'gamba', 'nata', 'julivert', 'sal', 'pebre']","['oli', 'ceba', 'pastanaga', 'all', 'brou', 'anís', 'blat de moro', 'gamba', 'nata', 'julivert', 'sal', 'pebre']"
Sopa de curri amb iogurt (Kadhi),informal,tebi,mitjana,mitjana,primer,sopa_crema,Índia,6.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina de cigró', 'iogurt', 'gingebre', 'xili', 'fulles de curri', 'sucre', 'sal', 'ghee', 'comí', 'mostassa', 'asafoetida', 'cilantro']","['farina de cigró', 'iogurt', 'gingebre', 'xili', 'fulles de curri', 'sucre', 'sal', 'ghee', 'comí', 'mostassa', 'asafoetida', 'cilantro']"
Bún bò Huế (fideus de vedella),formal,tebi,mitjana,mitjana,primer,sopa_crema,Vietnam,8.76,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['pasta de gambes', 'ceba', 'oli', 'peu de porc', 'herbes', 'vedella', 'salsa de peix', 'sucre', 'xili', ""fideus d'arròs"", 'llimona', 'germinats']","['pasta de gambes', 'ceba', 'oli', 'peu de porc', 'herbes', 'vedella', 'salsa de peix', 'sucre', 'xili', ""fideus d'arròs"", 'llimona', 'germinats']"
Dovga (sopa d'iogurt i herbes),formal,tebi,alta,mitjana,primer,sopa_crema,Azerbaidjan,9.47,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['iogurt', 'arròs', 'ou', 'herbes', 'pèsols']","['iogurt', 'arròs', 'ou', 'herbes', 'pèsols']"
Sopa miso tradicional,informal,calent,baixa,petita,primer,sopa_crema,Japó,6.5,"['empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['dashi', 'miso', 'tofu', 'wakame', 'daikon', 'fideus', 'cloïsses']","['dashi', 'miso', 'tofu', 'wakame', 'daikon', 'fideus', 'cloïsses']"
Sopa de mongetes blanques toscana,informal,calent,mitjana,mitjana,primer,sopa_crema,Itàlia,6.91,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['mongetes blanques', 'brou de pollastre', 'all', 'alfàbrega', 'romer', 'flocs de xili']","['mongetes blanques', 'brou de pollastre', 'all', 'alfàbrega', 'romer', 'flocs de xili']"
Sopa de mongetes negres amb salsa verda,informal,calent,mitjana,mitjana,primer,sopa_crema,Mèxic,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['mongetes', 'brou', 'salsa verda', 'cilantre', 'comí']","['mongetes', 'brou', 'salsa verda', 'cilantre', 'comí']"
Sopa de mongetes amb peix,formal,tebi,mitjana,mitjana,primer,sopa_crema,Internacional,9.55,"['casament', 'empresa', 'congres']",['estiu'],"['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'pastanaga', 'patata', 'peix', 'brou', 'espècies']","['mongetes', 'oli', 'ceba', 'all', 'tomàquet', 'pastanaga', 'patata', 'peix', 'brou', 'espècies']"
Sopa de moniato i cacauet,informal,tebi,alta,mitjana,primer,sopa_crema,Malawi,7.8,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['oli', 'ceba', 'all', 'moniato', 'brou', 'cacauets', 'comí', 'coriandre', 'espècies', 'llet de coco', 'cilantre']","['oli', 'ceba', 'all', 'moniato', 'brou', 'cacauets', 'comí', 'coriandre', 'espècies', 'llet de coco', 'cilantre']"
Sopa tailandesa Tom Kha Kai,formal,tebi,mitjana,mitjana,primer,sopa_crema,Tailàndia,7.49,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['llet de coco', 'brou', 'citronel·la', 'galanga', 'xili', 'pollastre', 'ceba', 'tomàquet', 'bolets', 'sucre', 'pebre', 'llimona', 'soja', 'cilantro']","['llet de coco', 'brou', 'citronel·la', 'galanga', 'xili', 'pollastre', 'ceba', 'tomàquet', 'bolets', 'sucre', 'pebre', 'llimona', 'soja', 'cilantro']"
Sopa tailandesa Tom Yum Gai,informal,tebi,mitjana,mitjana,primer,sopa_crema,Tailàndia,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['pollastre', 'brou', 'bolets', 'tomàquet', 'citronel·la', 'llimona kafir', 'salsa de peix', 'llimona', 'sucre', 'xili']","['pollastre', 'brou', 'bolets', 'tomàquet', 'citronel·la', 'llimona kafir', 'salsa de peix', 'llimona', 'sucre', 'xili']"
Crema de tomàquet i alfàbrega amb torradetes,formal,tebi,alta,mitjana,primer,sopa_crema,Itàlia,12.09,"['casament', 'empresa', 'congres']",['estiu'],"['tomàquet', 'nata', 'brou', 'sal', 'pebre', 'oli', 'pa', 'all', 'alfàbrega']","['tomàquet', 'nata', 'brou', 'sal', 'pebre', 'oli', 'pa', 'all', 'alfàbrega']"
Crema de tomàquet rostits,informal,tebi,mitjana,mitjana,primer,sopa_crema,Internacional,6.5,"['empresa', 'aniversari']",['estiu'],"['oli', 'ceba', 'all', 'llorer', 'tomàquet', 'brou', 'sal', 'sucre', 'orenga']","['oli', 'ceba', 'all', 'llorer', 'tomàquet', 'brou', 'sal', 'sucre', 'orenga']"
Vichyssoise (crema freda de patata i porro),informal,fred,baixa,mitjana,primer,sopa_crema,França,6.5,"['empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['patata', 'mantega', 'porro', 'sallot', 'brou de pollastre', 'pebre blanc', 'vi blanc', 'nata', 'llet']","['patata', 'mantega', 'porro', 'sallot', 'brou de pollastre', 'pebre blanc', 'vi blanc', 'nata', 'llet']"
Sopa de peix mediterrània amb tomàquet,informal,tebi,mitjana,mitjana,primer,sopa_crema,Mediterrània,7.39,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['peix', 'chile', 'tomàquet', 'brou', 'sal']","['peix', 'chile', 'tomàquet', 'brou', 'sal']"
Sopa mexicana de tortilla i pollastre,informal,calent,mitjana,mitjana,primer,sopa_crema,Mèxic,7.98,"['empresa', 'aniversari']",['estiu'],"['oli', 'ceba', 'all', 'tomàquet', 'brou', 'cilantro', 'pollastre', 'sal', 'pebre', 'xili', 'tortilla', 'formatge', 'olives']","['oli', 'ceba', 'all', 'tomàquet', 'brou', 'cilantro', 'pollastre', 'sal', 'pebre', 'xili', 'tortilla', 'formatge', 'olives']"
Agnolotti in brodo,formal,calent,baixa,mitjana,primer,sopa_crema,Itàlia,11.29,"['casament', 'empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']",['formatge parmesà'],['formatge parmesà']
Sopa de verdures de temporada,informal,calent,baixa,gran,primer,sopa_crema,Internacional,8.22,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'nap', 'patata', 'pastanaga', 'col', 'aigua', 'sal']","['ceba', 'nap', 'patata', 'pastanaga', 'col', 'aigua', 'sal']"
Sopa ucraïnesa de col (Kapusniak),informal,tebi,alta,mitjana,primer,sopa_crema,Ucraïna,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","[""oli d'oliva"", 'ceba', 'all', 'brou de pollastre', 'patata', 'pastanaga', 'peza de lletuga', 'espècies', 'coles', 'bacó', 'all', 'orenga', 'worcestershire', 'soia', 'paprika', 'sàlvia', 'sègol', 'iogurt']","[""oli d'oliva"", 'ceba', 'all', 'brou de pollastre', 'patata', 'pastanaga', 'peza de lletuga', 'espècies', 'coles', 'bacó', 'all', 'orenga', 'worcestershire', 'soia', 'paprika', 'sàlvia', 'sègol', 'iogurt']"
Sopa goulash hongaresa,formal,tebi,alta,mitjana,primer,sopa_crema,Hongria,8.51,"['casament', 'empresa', 'congres']",['estiu'],"['carn', 'ceba', 'patata', 'oli', 'paprika', 'espècies', 'vinagre', 'brou']","['carn', 'ceba', 'patata', 'oli', 'paprika', 'espècies', 'vinagre', 'brou']"
Rasam de tamarinde,informal,tebi,alta,petita,primer,sopa_crema,Índia,6.5,"['empresa', 'aniversari']",['estiu'],"['oli', 'cilantre', 'xili sec', 'comí', 'asafoetida', 'dal', 'cúrcuma', 'tomàquet', 'tamarinde', 'sucre', 'sal', 'aigua', 'mostassa', 'fulles de curri']","['oli', 'cilantre', 'xili sec', 'comí', 'asafoetida', 'dal', 'cúrcuma', 'tomàquet', 'tamarinde', 'sucre', 'sal', 'aigua', 'mostassa', 'fulles de curri']"
Sayur Asem (sopa agredolça d'Indonèsia),informal,tebi,mitjana,mitjana,primer,sopa_crema,Indonèsia,7.02,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['xili', 'ceba', 'pastanaga', 'tamarinde', 'salam', 'mongeta', 'carbassó', 'blat de moro', 'jackfruit', 'cacauet', 'sal', 'sucre']","['xili', 'ceba', 'pastanaga', 'tamarinde', 'salam', 'mongeta', 'carbassó', 'blat de moro', 'jackfruit', 'cacauet', 'sal', 'sucre']"
Sopa vietnamita de pollastre amb fideus (Phở Gà),informal,tebi,alta,gran,primer,sopa_crema,Vietnam,9.09,"['empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['espècies', 'brou de pollastre', 'ceba', 'sal', 'salsa de peix', 'fideus', 'herbes', 'brots de soja', 'ceba tendra', 'llimona', 'xili', 'salsa picant']","['espècies', 'brou de pollastre', 'ceba', 'sal', 'salsa de peix', 'fideus', 'herbes', 'brots de soja', 'ceba tendra', 'llimona', 'xili', 'salsa picant']"
Sopa vietnamita de vedella amb fideus (Phở Bò),informal,tebi,alta,gran,primer,sopa_crema,Vietnam,10.46,"['empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['ceba', 'oli', 'ossos', 'gingebre', 'canyella', 'cardamom', 'clau', 'anís', 'pebre', 'fideus', 'vedella', 'xili', 'brots de soja', 'llimona', 'alfàbrega', 'salses']","['ceba', 'oli', 'ossos', 'gingebre', 'canyella', 'cardamom', 'clau', 'anís', 'pebre', 'fideus', 'vedella', 'xili', 'brots de soja', 'llimona', 'alfàbrega', 'salses']"
Sopa miso simple de restaurant,informal,calent,baixa,petita,primer,sopa_crema,Japó,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['dashi', 'tòfu', 'cebollí', 'miso']","['dashi', 'tòfu', 'cebollí', 'miso']"
Sopa mexicana de tomàquet,informal,calent,baixa,mitjana,primer,sopa_crema,Mèxic,6.5,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'ceba', 'pebrot', 'oli', 'sal', 'sucre']","['tomàquet', 'ceba', 'pebrot', 'oli', 'sal', 'sucre']"
Spanakopita,informal,tebi,alta,mitjana,primer,entrant_calent,Grècia,9.11,"['empresa', 'congres', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['espinacs', 'ceba', ""oli d'oliva"", 'ceba tendra', 'julivert', 'anet', 'nou moscada', 'llimona', 'formatge feta', 'mató', 'parmesà', 'ou', 'pasta filo', 'mantega', 'pebre', 'sal']","['espinacs', 'ceba', ""oli d'oliva"", 'ceba tendra', 'julivert', 'anet', 'nou moscada', 'llimona', 'formatge feta', 'mató', 'parmesà', 'ou', 'pasta filo', 'mantega', 'pebre', 'sal']"
Sushi nigiri,formal,fred,alta,petita,primer,entrant_fred,Japó,9.74,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['arròs de sushi', 'cobertura', 'wasabi', 'nori']","['arròs de sushi', 'cobertura', 'wasabi', 'nori']"
Sushi gunkanmaki,formal,fred,alta,petita,primer,entrant_fred,Japó,8.6,"['casament', 'empresa', 'congres']","['estiu', 'hivern', 'primavera', 'tardor']","['arròs', 'nori', 'ouriço de mar', 'rovell de peix', 'cogombre', 'ou de codorniz']","['arròs', 'nori', 'ouriço de mar', 'rovell de peix', 'cogombre', 'ou de codorniz']"
Tequeños veneçolans de formatge arrebossat,informal,calent,alta,mitjana,primer,entrant_calent,Veneçuela,6.96,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'oli', 'ou', 'sal', 'sucre', 'formatge blanc']","['farina', 'oli', 'ou', 'sal', 'sucre', 'formatge blanc']"
Tomàquets farcits,informal,tebi,mitjana,mitjana,primer,vegetal_entrant,Internacional,6.5,"['empresa', 'aniversari']",['estiu'],"['tomàquet', 'bolets', 'ceba', 'herbes', 'pebre', 'all', 'sal', 'oli']","['tomàquet', 'bolets', 'ceba', 'herbes', 'pebre', 'all', 'sal', 'oli']"
Tortilla de patata,informal,tebi,alta,gran,primer,entrant_calent,Espanya,6.5,"['empresa', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['ou', 'patata', 'ceba', ""oli d'oliva"", 'sal']","['ou', 'patata', 'ceba', ""oli d'oliva"", 'sal']"
Wontons cruixents de crema de formatge (agredolça),formal,tebi,alta,petita,primer,entrant_calent,Xina,7.61,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['formatge crema', 'massa wonton', 'oli', 'salsa agredolça']","['formatge crema', 'massa wonton', 'oli', 'salsa agredolça']"
